,Unnamed: 0,a,ab,b,c,pentamer,F,carbazole
795,2982.0,OB(O)c1ccnc(F)c1,C[N+]12CC(=O)O[B-]1(c1ccc(-c3ccnc(F)c3)cc1)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,Brc1ccc2nc3ccc(Br)cc3nc2c1,c1ccc2c(c1)c1ccccc1n2-c1cc(-c2ccc(-c3ccc4nc5ccc(-c6ccc(-c7ccnc(-n8c9ccccc9c9ccccc98)c7)cc6)cc5nc4c3)cc2)ccn1,Fc1cc(-c2ccc(-c3ccc4nc5ccc(-c6ccc(-c7ccnc(F)c7)cc6)cc5nc4c3)cc2)ccn1,c1ccc2c(c1)[nH]c1ccccc12
796,3002.0,OB(O)c1ccnc(F)c1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccnc(F)c3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,C[Si](C)(c1ccccc1Br)c1ccccc1Br,C[Si](C)(c1ccccc1-c1cccc(-c2ccnc(-n3c4ccccc4c4ccccc43)c2)c1-n1c2ccccc2c2ccccc21)c1ccccc1-c1cccc(-c2ccnc(-n3c4ccccc4c4ccccc43)c2)c1-n1c2ccccc2c2ccccc21,C[Si](C)(c1ccccc1-c1cccc(-c2ccnc(F)c2)c1F)c1ccccc1-c1cccc(-c2ccnc(F)c2)c1F,c1ccc2c(c1)[nH]c1ccccc12
797,3003.0,OB(O)c1ccnc(F)c1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccnc(F)c3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Brc1ccc(Br)nc1,c1cc(-c2ccc(-c3cccc(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)c3-n3c4ccccc4c4ccccc43)nc2)c(-n2c3ccccc3c3ccccc32)c(-c2ccnc(-n3c4ccccc4c4ccccc43)c2)c1,Fc1cc(-c2cccc(-c3ccc(-c4cccc(-c5ccnc(F)c5)c4F)nc3)c2F)ccn1,c1ccc2c(c1)[nH]c1ccccc12
798,3004.0,OB(O)c1ccnc(F)c1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccnc(F)c3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Fc1cc(Br)c(F)cc1Br,c1cc(-c2ccnc(-n3c4ccccc4c4ccccc43)c2)c(-n2c3ccccc3c3ccccc32)c(-c2cc(-n3c4ccccc4c4ccccc43)c(-c3cccc(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)c3-n3c4ccccc4c4ccccc43)cc2-n2c3ccccc3c3ccccc32)c1,Fc1cc(-c2cccc(-c3cc(F)c(-c4cccc(-c5ccnc(F)c5)c4F)cc3F)c2F)ccn1,c1ccc2c(c1)[nH]c1ccccc12
799,3005.0,OB(O)c1ccnc(F)c1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccnc(F)c3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Brc1cc(Br)c2ccccc2c1,c1cc(-c2ccnc(-n3c4ccccc4c4ccccc43)c2)c(-n2c3ccccc3c3ccccc32)c(-c2cc(-c3cccc(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)c3-n3c4ccccc4c4ccccc43)c3ccccc3c2)c1,Fc1cc(-c2cccc(-c3cc(-c4cccc(-c5ccnc(F)c5)c4F)c4ccccc4c3)c2F)ccn1,c1ccc2c(c1)[nH]c1ccccc12
800,3006.0,OB(O)c1ccnc(F)c1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccnc(F)c3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Clc1cc(Br)sc1Br,Clc1cc(-c2cccc(-c3ccnc(-n4c5ccccc5c5ccccc54)c3)c2-n2c3ccccc3c3ccccc32)sc1-c1cccc(-c2ccnc(-n3c4ccccc4c4ccccc43)c2)c1-n1c2ccccc2c2ccccc21,Fc1cc(-c2cccc(-c3cc(Cl)c(-c4cccc(-c5ccnc(F)c5)c4F)s3)c2F)ccn1,c1ccc2c(c1)[nH]c1ccccc12
801,3007.0,OB(O)c1ccnc(F)c1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccnc(F)c3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Cc1nc2c(Br)c3nsnc3c(Br)c2nc1C,Cc1nc2c(-c3cccc(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)c3-n3c4ccccc4c4ccccc43)c3nsnc3c(-c3cccc(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)c3-n3c4ccccc4c4ccccc43)c2nc1C,Cc1nc2c(-c3cccc(-c4ccnc(F)c4)c3F)c3nsnc3c(-c3cccc(-c4ccnc(F)c4)c3F)c2nc1C,c1ccc2c(c1)[nH]c1ccccc12
802,3008.0,OB(O)c1ccnc(F)c1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccnc(F)c3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Brc1ccccc1Oc1ccccc1Br,c1ccc(-c2cccc(-c3ccnc(-n4c5ccccc5c5ccccc54)c3)c2-n2c3ccccc3c3ccccc32)c(Oc2ccccc2-c2cccc(-c3ccnc(-n4c5ccccc5c5ccccc54)c3)c2-n2c3ccccc3c3ccccc32)c1,Fc1cc(-c2cccc(-c3ccccc3Oc3ccccc3-c3cccc(-c4ccnc(F)c4)c3F)c2F)ccn1,c1ccc2c(c1)[nH]c1ccccc12
803,3009.0,OB(O)c1ccnc(F)c1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccnc(F)c3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,CC(C)(C)c1ccc2c(Br)c3ccccc3c(Br)c2c1,CC(C)(C)c1ccc2c(-c3cccc(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)c3-n3c4ccccc4c4ccccc43)c3ccccc3c(-c3cccc(-c4ccnc(-n5c6ccccc6c6ccccc65)c4)c3-n3c4ccccc4c4ccccc43)c2c1,CC(C)(C)c1ccc2c(-c3cccc(-c4ccnc(F)c4)c3F)c3ccccc3c(-c3cccc(-c4ccnc(F)c4)c3F)c2c1,c1ccc2c(c1)[nH]c1ccccc12
804,3010.0,OB(O)c1ccnc(F)c1,C[N+]12CC(=O)O[B-]1(c1cccc(-c3ccnc(F)c3)c1F)OC(=O)C2,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,Fc1cc(Br)c(F)cc1Br,Fc1cc(-c2cccc(-c3ccnc(-n4c5ccccc5c5ccccc54)c3)c2-n2c3ccccc3c3ccccc32)c(F)cc1-c1cccc(-c2ccnc(-n3c4ccccc4c4ccccc43)c2)c1-n1c2ccccc2c2ccccc21,Fc1cc(-c2cccc(-c3cc(F)c(-c4cccc(-c5ccnc(F)c5)c4F)cc3F)c2F)ccn1,c1ccc2c(c1)[nH]c1ccccc12
