,smiles,frag_a_ix,frag_a,frag_b_ix,frag_b,frag_c_ix,frag_c,overlap,fluo_rate_ns,fluo_peak_1,fluo_peak_2,ext_peak_1,ext_peak_2,route_score
37,Fc1cc(-c2ccc(-c3cc(-n4c5ccccc5c5ccccc54)c(-c4ccc(-c5ccnc(F)c5)cc4)cc3-n3c4ccccc4c4ccccc43)cc2)ccn1,0,OB(O)c1ccnc(F)c1,1,C[N+]12CC(=O)O[B-]1(c1ccc(Br)cc1)OC(=O)C2,18,Brc1cc(-n2c3ccccc3c3ccccc32)c(Br)cc1-n1c2ccccc2c2ccccc21,0.18062143884062903,0.02202420965933125,0.7356987460255179,0.00023696518508076466,0.36647525822545435,0.0004432929668367295,1114.9405713683277
38,Fc1cc(-c2ccccc2-c2cc(-c3ccccc3-c3ccnc(F)c3)c3ccccc3c2)ccn1,0,OB(O)c1ccnc(F)c1,2,C[N+]12CC(=O)O[B-]1(c1ccccc1Br)OC(=O)C2,0,Brc1cc(Br)c2ccccc2c1,0.05579493397923169,0.04041391037367791,0.09467541841207221,5.0855221974551906e-05,0.0008315619535350375,0.00013478038610871852,5.145234137917404
39,Fc1cc(-c2ccccc2-c2cc(Cl)c(-c3ccccc3-c3ccnc(F)c3)s2)ccn1,0,OB(O)c1ccnc(F)c1,2,C[N+]12CC(=O)O[B-]1(c1ccccc1Br)OC(=O)C2,1,Clc1cc(Br)sc1Br,0.013001901421732517,0.23185829211960224,0.5251325210332352,0.0001239469008271883,0.0011114951101386693,0.00015991526577842791,4.387150987308168
40,Cc1nc2c(-c3ccccc3-c3ccnc(F)c3)c3nsnc3c(-c3ccccc3-c3ccnc(F)c3)c2nc1C,0,OB(O)c1ccnc(F)c1,2,C[N+]12CC(=O)O[B-]1(c1ccccc1Br)OC(=O)C2,2,Cc1nc2c(Br)c3nsnc3c(Br)c2nc1C,0.14910244814896828,0.08168367739064628,0.0036454605436742837,0.016548517482747965,0.321202742043669,0.001117005725486886,10.920853780706368
41,Fc1cc(-c2ccccc2-c2ccccc2Oc2ccccc2-c2ccccc2-c2ccnc(F)c2)ccn1,0,OB(O)c1ccnc(F)c1,2,C[N+]12CC(=O)O[B-]1(c1ccccc1Br)OC(=O)C2,3,Brc1ccccc1Oc1ccccc1Br,0.039407345367882325,0.0078098740773799216,0.02178146187948589,3.676537971305126e-05,0.0005786552895987968,9.614727302372774e-05,3.817109751398803
42,CC(C)(C)c1ccc2c(-c3ccccc3-c3ccnc(F)c3)c3ccccc3c(-c3ccccc3-c3ccnc(F)c3)c2c1,0,OB(O)c1ccnc(F)c1,2,C[N+]12CC(=O)O[B-]1(c1ccccc1Br)OC(=O)C2,4,CC(C)(C)c1ccc2c(Br)c3ccccc3c(Br)c2c1,0.4365953030945179,0.14013487032688793,0.840005666240871,0.0001790903609992214,0.3726070880848291,0.0004521267077458567,8.960229279428365
43,Fc1cc(-c2ccccc2-c2cc(F)c(-c3ccccc3-c3ccnc(F)c3)cc2F)ccn1,0,OB(O)c1ccnc(F)c1,2,C[N+]12CC(=O)O[B-]1(c1ccccc1Br)OC(=O)C2,5,Fc1cc(Br)c(F)cc1Br,0.009387541269352172,0.1320721223177671,0.09272221695267273,4.887550006037949e-05,0.00048527836389020834,7.780620993900983e-05,3.9860419648342207
44,Fc1cc(-c2ccccc2-c2ccc3oc(-c4ccccc4-c4ccnc(F)c4)cc3c2)ccn1,0,OB(O)c1ccnc(F)c1,2,C[N+]12CC(=O)O[B-]1(c1ccccc1Br)OC(=O)C2,6,Brc1ccc2oc(Br)cc2c1,0.006510162681671866,0.17140573131249387,0.5930373780270409,0.000251734339958645,0.000852851758411156,0.0001328421773332087,2248.820906818487
45,Fc1cc(-c2ccccc2-c2ccc(-c3ccccc3-c3ccnc(F)c3)o2)ccn1,0,OB(O)c1ccnc(F)c1,2,C[N+]12CC(=O)O[B-]1(c1ccccc1Br)OC(=O)C2,7,Brc1ccc(Br)o1,0.06693588623003034,0.32027438510623685,0.5838302721209077,0.00012001592011573424,0.002721731401411569,0.00023525516927153008,3.887744306944109
46,Fc1cc(-c2ccccc2-c2ccc3c(c2)C2(c4ccccc4-c4ccccc42)c2cc(-c4ccccc4-c4ccnc(F)c4)ccc2-3)ccn1,0,OB(O)c1ccnc(F)c1,2,C[N+]12CC(=O)O[B-]1(c1ccccc1Br)OC(=O)C2,8,Brc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(Br)ccc1-2,0.016558771781093867,0.0488604575063297,0.675685660456115,0.00015410043182012437,0.001864429655744604,0.00018920185770825892,6.4792659141580815
